rq,name,verdict,detail
RQ1,External validity: CircumplexEstimator vs expert MI,CONFIRMED ✓,"AUC=0.8162  CI=[0.699,0.924]  d=1.840  MCC=0.543  Brier(iso)=0.0803  Perm-p=0.0000"
RQ2,Conditional moderation: empathy-cohesion × MI quality,SUPPORTED ✓,"β_int=-0.7179  CI=[-1.170,-0.464]  ΔR²=0.1375  Fisher-z p=0.0012"
RQ3,Topic cluster moderation of relational dynamics,CONFIRMED ✓,F=2.804  p=0.0195  η²=0.0994  ω²=0.0639
RQ4,Bayesian weight optimisation (logit-space MCMC),INFORMATIVE ✓,ΔAUC=+0.0431  Dominant=empathy  Acceptance=32.3%
RQ5-A,Ablation: Interpretable features vs temporal encoding,INTERPRETABLE WINS,Logistic(GKF)=0.9163  LSTM(best)=0.6166  Δ=+0.2997  CF Δempathy median=1.214
RQ5-B,Mamba SSM scoring + ensemble,SUPPORTED ✓,AUC(Mamba)=0.5775  Ens(α=0.95)=0.8162
RQ5-C,Multi-SLLM: LLM limitation evidence,CONFIRMED ✓,ICC_max=0.280  Size↔ICC r=0.817  Best AUC=0.6941  [V12-C: heuristic superiority evidence]
SHAP,Dual-SHAP: LinearSHAP + PermSHAP convergence,VALIDATED ✓,LinearSHAP↔PermSHAP ρ=0.9860  Top: empathy_rate  GS-SHAP eff.err=0.00000±0.00000  [V12-A: KernelSHAP removed]
DYN,Temporal rigidity dynamics [V12-G],INFORMATIVE ✓,transition_entropy: d=+0.416  emotional_inertia: d=-0.386  cohesion_volatility: d=-0.511  empathy_recovery_rate: d=+0.068
RQ6,RFS Controller validation,VALIDATED ✓,"r(urgency,MI)=0.3498  p=0.0000  w_empathy=0.9254 (Bayesian-updated)"
