feature,LinearSHAP,abs_LinearSHAP
empathy_rate,2.124336946769548,2.124336946769548
negation_rate,-0.8094378198831799,0.8094378198831799
wc_balance,0.6205272172538014,0.6205272172538014
emp_agr_interact,0.6015084273750246,0.6015084273750246
agreement_rate,0.5934251060819186,0.5934251060819186
lag1_autocorr,-0.40083879237907816,0.40083879237907816
question_rate,0.2222999485600474,0.2222999485600474
sent_std,-0.15404892671062462,0.15404892671062462
sent_diff_ab,-0.14879862857689358,0.14879862857689358
oscillation_rate,-0.13761080657142752,0.13761080657142752
sent_mean,0.12280302192839262,0.12280302192839262
mean_ttr,-0.0321100527129532,0.0321100527129532
